Section,Station,Assigned_ID,Reviewed_ID,Title,Abstract,SpeakerAffil,Date,Start,End,Dow,Owner,Speaker,,Cal_Subj,Cal_Loc,Topic,,,,,,
AWS-THEATRE,T,,,Cooking up advanced HPC with community recipes,"HPC systems deployed on AWS often rely on various resources like file systems, networking, and directory services. Despite AWS ParallelCluster’s automation capabilities, setting up and integrating these dependencies can become complex if you have a lot of custom requirements. In this session, walk through how the new HPC Recipes for AWS library simplifies this process. Then, learn how to create a multi-user environment, configure shared storage, set up a budget, and deploy a benchmarking cluster with just a few clicks in the AWS Management Console. Finally, discover how to combine, modify, and reuse these recipes to meet your particular needs—without needing to be an AWS expert.",AWS,15-Nov,12:00,13:00,Wednesday,bouffler,"Matt Vaughn, Principal HPC Developer Advocate, AWS; Brian Skjerven, Senior UK/IR HPC Specialist Solutions Architect, AWS",,Cooking up advanced HPC with community recipes,AWS Booth #1001 | Theatre @ SC'23 Denver,ParallelCluster,,,,,,
AWS-THEATRE,T,,,"My laptop has 50,000 cores: Spinning up serious infrastructure with ease","Join this session to learn how organizations across different fields—from EDA to drug design—have been using AWS to scale and improve their R&D. Learn how to create a real, large, and very complete cluster in a few minutes using AWS HPC services, including AWS ParallelCluster, Amazon FSx for Lustre, and visualization with NICE DCV. Find out how to customize compute images to include applications and development tools, and discover how to integrate with Spack for reliable deployment of open source packages.",AWS,15-Nov,13:00,14:00,Wednesday,bouffler,"Brian Skjerven, Senior UK/IR HPC Specialist Solutions Architect, AWS; Brendan Bouffler, Senior Manager, HPC Developer Advocacy, AWS",,"My laptop has 50,000 cores: Spinning up serious infrastructure with ease",AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, Visualization",,,,,,
AWS-THEATRE,T,,,Combining generative AI with physics to simulate millions of unique engineering designs,"The generative capability of AI holds significant promise across a diverse range of industries fueled by engineering design, such as automotive, motor sports, and aerospace. In this session, discover how to create a pipeline that uses generative AI designs to feed conventional physics-based simulations, and learn how to loop all of this to create a converging, rapid design process for exploring new design concepts starting from a single image. Learn how to use open source frameworks to create digital twins, deploy OpenFOAM in containers for the simulations, and use serverless tools coupled with AWS Batch to drive all this at scale.",AWS,15-Nov,14:00,15:00,Wednesday,bouffler,"Angel Pizarro, Principal HPC Developer Advocate, AWS; Matt Vaughn, Principal HPC Developer Advocate, AWS",,Combining generative AI with physics to simulate millions of unique engineering designs,AWS Booth #1001 | Theatre @ SC'23 Denver,"Batch, Generative AI",,,,,,
AWS-THEATRE,T,,,Deploy & use a petabyte of Lustre storage faster than making a coffee,"Amazon FSx for Lustre helps you deploy high-performance Lustre systems in just a few clicks and has capabilities that most traditional storage systems lack—think of processing hundreds of gigabytes per second of throughput without months of planning, logistics, and testing. In this session, learn how to spin up a large-scale and fast Lustre file system in less time than it takes to make a coffee. Then, discover how it can synchronize with massive datasets in object storage and how you can choose from different classes of storage performance and price to match your organization’s needs. Finally, learn how you can use Amazon File Cache to deploy Lustre as a massively parallel cloud cache for storage systems in your own data centers and how this can be a useful tool for creating hybrid facilities that speed up your users’ time to results.",AWS,15-Nov,15:00,16:00,Wednesday,bouffler,"Randy Seamans, Principal Storage Solutions Architect, Public Sector, AWS; Brendan Bouffler, Senior Manager, HPC Developer Advocacy, AWS",,Deploy & use a petabyte of Lustre storage faster than making a coffee,AWS Booth #1001 | Theatre @ SC'23 Denver,Lustre,,,,,,
AWS-THEATRE,T,,,Building secure HPC environments with AWS ParallelCluster,"HPC systems and workloads have their own unique set of security challenges. Running these workloads on AWS can help you address these challenges in new ways and with this freedom comes the ability to choose different solutions based on your organization’s unique needs. In this session, walk through a traditional HPC security scenario and discover different approaches you can take to address these challenges. Find out how the AWS secure-by-design architecture helps take care of common security challenges, and learn best practices for building secure HPC environments on AWS. When you’re done, you’ll understand how your cloud infrastructure can be even more secure than your data centers.",AWS,15-Nov,16:00,17:00,Wednesday,bouffler,"Lowell Wofford, Principal HPC Solutions Architect, AWS; Evan Bollig, Principal HPC Specialist, AWS",,Building secure HPC environments with AWS ParallelCluster,AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, Security",,,,,,
AWS-THEATRE,T,,,Combining generative AI with physics to simulate millions of unique engineering designs,"The generative capability of AI holds significant promise across a diverse range of industries fueled by engineering design, such as automotive, motor sports, and aerospace. In this session, discover how to create a pipeline that uses generative AI designs to feed conventional physics-based simulations, and learn how to loop all of this to create a converging, rapid design process for exploring new design concepts starting from a single image. Learn how to use open source frameworks to create digital twins, deploy OpenFOAM in containers for the simulations, and use serverless tools coupled with AWS Batch to drive all this at scale.",AWS,16-Nov,10:00,11:00,Thursday,bouffler,"Angel Pizarro, Principal HPC Developer Advocate, AWS; Matt Vaughn, Principal HPC Developer Advocate, AWS",,Combining generative AI with physics to simulate millions of unique engineering designs,AWS Booth #1001 | Theatre @ SC'23 Denver,"Batch, Generative AI",,,,,,
AWS-THEATRE,T,,,Model training with AWS ParallelCluster,"Training machine learning (ML) models requires setting up clusters that enable many GPUs to talk to each other using low-latency networking that is capable of driving massive throughput. This session shares in real time how you can quickly and easily set up an ML training cluster using AWS ParallelCluster, NVIDIA GPUs, Elastic Fabric Adapter (EFA), and Amazon FSx for Lustre. Learn how to train a GPT model using Megatron-LM, store the results, and collapse the infrastructure when you’re finished.",AWS,16-Nov,11:00,12:00,Thursday,bouffler,"Sean Smith, Senior HPC Specialist Solutions Architect, AWS; Brian Skjerven, Senior UK/IR HPC Specialist Solutions Architect, AWS",,Model training with AWS ParallelCluster,AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, Machine learning",,,,,,
AWS-THEATRE,T,,,Cooking up advanced HPC with community recipes,"HPC systems deployed on AWS often rely on various resources like file systems, networking, and directory services. Despite AWS ParallelCluster’s automation capabilities, setting up and integrating these dependencies can become complex if you have a lot of custom requirements. In this session, walk through how the new HPC Recipes for AWS library simplifies this process. Then, learn how to create a multi-user environment, configure shared storage, set up a budget, and deploy a benchmarking cluster with just a few clicks in the AWS Management Console. Finally, discover how to combine, modify, and reuse these recipes to meet your particular needs—without needing to be an AWS expert.",AWS,16-Nov,12:00,13:00,Thursday,bouffler,"Matt Vaughn, Principal HPC Developer Advocate, AWS; Brian Skjerven, Senior UK/IR HPC Specialist Solutions Architect, AWS",,Cooking up advanced HPC with community recipes,AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, Security",,,,,,
AWS-THEATRE,T,,,Deploy & use a petabyte of Lustre storage faster than making a coffee,"Amazon FSx for Lustre helps you deploy high-performance Lustre systems in just a few clicks and has capabilities that most traditional storage systems lack—think of processing hundreds of gigabytes per second of throughput without months of planning, logistics, and testing. In this session, learn how to spin up a large-scale and fast Lustre file system in less time than it takes to make a coffee. Then, discover how it can synchronize with massive datasets in object storage and how you can choose from different classes of storage performance and price to match your organization’s needs. Finally, learn how you can use Amazon File Cache to deploy Lustre as a massively parallel cloud cache for storage systems in your own data centers and how this can be a useful tool for creating hybrid facilities that speed up your users’ time to results.",AWS,16-Nov,13:00,14:00,Thursday,bouffler,"Randy Seamans, Principal Storage Solutions Architect, Public Sector, AWS; Brendan Bouffler, Senior Manager, HPC Developer Advocacy, AWS",,Deploy & use a petabyte of Lustre storage faster than making a coffee,AWS Booth #1001 | Theatre @ SC'23 Denver,Lustre,,,,,,
AWS-THEATRE,T,,,Amazon Braket: The quantum computing service of AWS,"Amazon Braket helps organizations get access to quantum computing hardware and simulators so they can speed up their scientific research and software development for quantum computing. This session shows short tutorials and shares how to run quantum circuits using real gate-based devices and simulators. Learn how to run your first quantum machine learning algorithm using Amazon Braket Hybrid Jobs. Along the way, explore Amazon Braket’s features, see examples from the AWS quantum algorithm library, and get your questions answered.",AWS,16-Nov,14:00,15:00,Thursday,bouffler,"Christian Madsen, Quantum Computing SDM, Amazon Braket, AWS; Michael Brett, Principal Specialist, Amazon Braket, AWS",,Amazon Braket: The quantum computing service of AWS,AWS Booth #1001 | Theatre @ SC'23 Denver,"Quantum, Amazon Braket",,,,,,
COMMUNITY,C,,,"HPC on Arm ""Welcome to Denver"" happy hour, sponsored by AWS, Arm, and NVIDIA","Arm, AWS, and NVIDIA want to welcome you to Denver with a happy hour downtown near the train station.",,12-Nov,19:00,22:00,Sunday,bouffler,"Arm, AWS, and NVIDIA",,"HPC on Arm ""Welcome to Denver"" happy hour, sponsored by AWS, Arm, and NVIDIA","Wynkoop Brewing (Mercantile Room) 1634 18th St
Denver, CO 80202","Arm64, Community, Networking",,,,,,
COMMUNITY,C,,,Zero to Hero: Conquering the Arm Neoverse (Arm HPC User group tutorial),"Developers from Arm, AWS, and NVIDIA Rm 407",,13-Nov,8:30,12:00,Monday,bouffler,"Developers from Arm, AWS, and NVIDIA",,Zero to Hero: Conquering the Arm Neoverse (Arm HPC User group tutorial),Rm 407,"Arm64, Graviton, Community",,,,,,
COMMUNITY,C,,,Solving Optimization Problems Using Near Term Quantum Devices - Amazon Braket tutorial,Quantum computing specialists from the Amazon Braket team Rm 406,,13-Nov,8:30,12:00,Monday,bouffler,Quantum computing specialists from the Amazon Braket team,,Solving Optimization Problems Using Near Term Quantum Devices - Amazon Braket tutorial,Rm 406,"Quantum, Amazon Braket, SC Tutorial",,,,,,
COMMUNITY,C,,,Women in HPC Workshop,Agenda: https://womeninhpc.org/events/sc-2023-workshop Rm 710,,13-Nov,9:00,17:00,Monday,bouffler,Agenda: https://womeninhpc.org/events/sc-2023-workshop,,Women in HPC Workshop,Rm 710,"WHPC, Community",,,,,,
COMMUNITY,C,,,Arm HPC User Group BoF ,Agenda: https://sc23.supercomputing.org/presentation/?id=bof120&sess=sess350 Rm 407,,14-Nov,17:15,18:45,Tuesday,bouffler,Agenda: https://sc23.supercomputing.org/presentation/?id=bof120&sess=sess350,,Arm HPC User Group BoF ,Rm 407,"Arm64, Graviton, Community, SC BoF",,,,,,
COMMUNITY,C,,,Women in HPC networking reception,Details: https://womeninhpc.org/events/sc-2023-networking-reception The Curtis Hotel,,14-Nov,18:00,21:00,Tuesday,bouffler,Details: https://womeninhpc.org/events/sc-2023-networking-reception,,Women in HPC networking reception,The Curtis Hotel,"Community, WHPC, Networking",,,,,,
COMMUNITY,C,,,AWS Networking reception,https://awsatsc23.splashthat.com/ Henry's Tavern,,14-Nov,18:30,20:30,Tuesday,paulaph@,https://awsatsc23.splashthat.com/,,AWS Networking reception,Henry's Tavern,Networking,,,,,,
COMMUNITY,C,,,AWS/NVIDIA Networking Reception,https://awsxnvidiareception.splashthat.com/ Hilton Denver City Center,,14-Nov,19:30,22:30,Tuesday,paulaph@,https://awsxnvidiareception.splashthat.com/,,AWS/NVIDIA Networking Reception,Hilton Denver City Center,Networking,,,,,,
COMMUNITY,C,,,AWS for Research breakfast at SC23,https://aws-research-breakfast-sc23.splashthat.com/ The Curtis Hotel,,15-Nov,8:00,10:00,Wednesday,brezita@,https://aws-research-breakfast-sc23.splashthat.com/,,AWS for Research breakfast at SC23,The Curtis Hotel,Networking,,,,,,
COMMUNITY,C,,,Spack Community BoF,https://sc23.supercomputing.org/presentation/?id=bof196&sess=sess346 205-207,,16-Nov,12:15,13:15,Thursday,bouffler@,https://sc23.supercomputing.org/presentation/?id=bof196&sess=sess346,,Spack Community BoF,205-207,"Community, SC BoF",,,,,,
COMMUNITY,C,,,Best Practices of HPC in the Cloud,https://sc23.supercomputing.org/presentation/?id=tut144&sess=sess238 Rm 205,,13-Nov,8:30,17:00,Monday,maxhaws@,https://sc23.supercomputing.org/presentation/?id=tut144&sess=sess238,,Best Practices of HPC in the Cloud,Rm 205,"SC Tutorial, Community",,,,,,
COMMUNITY,C,,,Fourth International Workshop on Quantum Computing Software,https://sc23.supercomputing.org/session/?sess=sess446 Rm 603,,13-Nov,9:00,17:30,Monday,shaffry@,https://sc23.supercomputing.org/session/?sess=sess446,,Fourth International Workshop on Quantum Computing Software,Rm 603,"SC Workshop, Community",,,,,,
COMMUNITY,C,,,Integrating Cloud Infrastructure with Large Scale HPC Environments,https://sc23.supercomputing.org/presentation/?id=bof222&sess=sess342 Rm 205-207,,15-Nov,12:15,13:15,Wednesday,hpoxon@,https://sc23.supercomputing.org/presentation/?id=bof222&sess=sess342,,Integrating Cloud Infrastructure with Large Scale HPC Environments,Rm 205-207,"SC BoF, Community",,,,,,
COMMUNITY,C,,,"MPI Forum BoF: Introducing MPI 4.1, the Newest Version of the MPI standard",https://sc23.supercomputing.org/presentation/?id=bof126&sess=sess339 Rm 205-207,,14-Nov,12:15,13:15,Tuesday,qkoziol@,https://sc23.supercomputing.org/presentation/?id=bof126&sess=sess339,,"MPI Forum BoF: Introducing MPI 4.1, the Newest Version of the MPI standard",Rm 205-207,"SC BoF, Community",,,,,,
COMMUNITY,C,,,MPICH BoF: A High Performance Open-Source MPI Implementation,https://sc23.supercomputing.org/presentation/?id=bof110&sess=sess385 Rm 605,,15-Nov,17:15,18:45,Wednesday,qkoziol@,https://sc23.supercomputing.org/presentation/?id=bof110&sess=sess385,,MPICH BoF: A High Performance Open-Source MPI Implementation,Rm 605,"SC BoF, Community",,,,,,
COMMUNITY,C,,,Open MPI BoF: State of the Union,https://sc23.supercomputing.org/presentation/?id=bof113&sess=sess362 Rm 405-406-407,,15-Nov,12:15,13:15,Wednesday,qkoziol@,https://sc23.supercomputing.org/presentation/?id=bof113&sess=sess362,,Open MPI BoF: State of the Union,Rm 405-406-407,"SC BoF, Community",,,,,,
COMMUNITY,C,,,HDF5 BoF: Building on 25 Years of Success,https://sc23.supercomputing.org/presentation/?id=bof212&sess=sess354 Rm 401-402,,15-Nov,17:15,18:45,Wednesday,qkoziol@,https://sc23.supercomputing.org/presentation/?id=bof212&sess=sess354,,HDF5 BoF: Building on 25 Years of Success,Rm 401-402,"SC BoF, Community",,,,,,
COMMUNITY,C,,,SIGHPC/CaRCC Lucky Strike Bowling,"https://sighpc-syspros.org/social/ Lucky Strike bowling, 500 16th St Mall #340, Denver, CO 80202",,12-Nov,18:00,20:00,Sunday,satgandh@,https://sighpc-syspros.org/social/,,SIGHPC/CaRCC Lucky Strike Bowling,"Lucky Strike bowling, 500 16th St Mall #340, Denver, CO 80202","Networking, Community",,,,,,
COMMUNITY,C,,,rescale: 2nd Annual Future of HPC Mixer,https://rescale.com/lp/sc23-hpc-mixer/ Hilton @ Denver City Center,,15-Nov,18:30,21:00,Wednesday,satgandh@,https://rescale.com/lp/sc23-hpc-mixer/,,rescale: 2nd Annual Future of HPC Mixer,Hilton @ Denver City Center,Networking,,,,,,
