Section,Station,Assigned_ID,Reviewed_ID,Title,Abstract,SpeakerAffil,Date,Start,End,Dow,Owner,Speaker,,Cal_Subj,Cal_Loc
SC22-THEATRE,T,SC22-BT-011,,Run genomics workflows using the Amazon Genomics CLI and AWS Batch,"Did you know that the Amazon Genomics CLI supports the top 4 worklfow languages for genomics? AGC stands up the AWS infrastructure you need for running workflows written in WDL, Nextflow, CWL, or SnakeMake. In this demo, we will show you how to leverage AGC to run your workflows on top of AWS Batch.",AWS,15-Nov,11:00,11:30,Tuesday,pizarroa@,"Angel Pizarro, Principal Developer Advocate for AWS Batch, AWS",,SC22-THEATRE: Run genomics workflows using the Amazon Genomics CLI and AWS Batch (SC22-BT-011),"AWS Booth #2425 | Theatre @ SC'22 Dallas, TX"
SC22-THEATRE,T,SC22-BT-025,SPC-S59,University of British Columbia’s AWS transformation journey & lessons,"While researchers are increasingly using cloud computing offerings, many aren’t experienced with system administration or cloud service management. This can be challenging for groups without cloud specialists to manage infrastructure and may reduce cloud engagement. Since 2020, the Advanced Research Computing team at the University of British Columbia (UBC) has been using RONIN to deliver a full-service cloud offering to their research community. Come learn about their community, the challenges they faced, and the lessons they learned with the cloud while using the user interfaces on AWS. Hear about their experience with RONIN, what researchers can expect with RONIN, and what’s required to create a workflow in a cloud environment.",University of British Columbia,15-Nov,11:30,12:00,Tuesday,changkn@,"Ken Bigelow, Advanced Research Computing Systems Administrator, UBC; Jacob Boschee, Advanced Research Computing Systems Administrator, UBC",,"SC22-THEATRE: University of British Columbia’s AWS transformation journey & lessons (SC22-BT-025 / 	SPC-S59)","AWS Booth #2425 | Theatre @ SC'22 Dallas, TX"
SC22-DEMOS,7,SC22-PD-03,SPC-S03,A high-performance scientific computing platform on AWS for structural biologists,"CryoElectron Microscopy (CryoEM) is revolutionizing the field of structure-based drug design by representing protein structures at that resolutions that are needed for drug discovery. However, CryoEM analysis workflow provides unique challenges for data handling, compute availability, automation, and orchestration. In this demo, learn how Clovertex’s cloud-based scientific discovery platform for structural biologists offers single-click deployment in your VPC so you can scalably and affordably store and process cryoEM data in the cloud. The platform uses 30+ AWS services and brings together the learnings from extensive benchmarking. Empower your scientists to focus on science by reducing cost of analysis and analyzing more structures in a short amount of time.",Clovertex,15-Nov,12:00,15:00,Tuesday,bsskjerv@,Deven Atnoor <deven.atnoor@clovertex.com>,,SC22-DEMOS: A high-performance scientific computing platform on AWS for structural biologists (SC22-PD-03 | SPC-S03),"AWS Booth #2425 | Demo Pod #7  @ SC'22 Dallas, TX"
SC22-DEMOS,8,SC22-PD-24,SPC-S67,Trapped ion quantum computing,"IonQ's quantum computer is the only trapped ion system available on Amazon Braket and delivers unparalleled performance for today's quantum algorithms. Matt Keesan, VP of Product Development will be discussing our technology and opportunities for near term applications of this transformative computational approach. Additionally, Matt will be discussing how to access IonQ's quantum computer through the Amazon Braket service.",ionQ,15-Nov,12:00,13:00,Tuesday,satgandh@,Matt Keesan <keesan@ionq.co>,,SC22-DEMOS: Trapped ion quantum computing (SC22-PD-24 | SPC-S67),"AWS Booth #2425 | Demo Pod #8  @ SC'22 Dallas, TX"
SC22-THEATRE,T,SC22-BT-003,SPC-S39,Elastic Fabric Adapter (EFA) explained,"In this talk we deep-dive into the origins and technology behind our specialized HPC & machine learning network interface, EFA.",AWS,15-Nov,12:00,12:30,Tuesday,bouffler@,"Brendan Bouffler, Head of HPC Developer Relations, HPC Engineering AWS, Matt Koop, Principal Engineer, HPC Engineering, AWS",,SC22-THEATRE: Elastic Fabric Adapter (EFA) explained (SC22-BT-003/SPC-S39),"AWS Booth #2425 | Theatre @ SC'22 Dallas, TX"
SC22-THEATRE,T,SC22-BT-004,SPC-S40,PCluster Manager for simplicity and reproducibility,"In this demo, learn how PCluster Manager and Spack’s binary cache together make a great option for easy design and implementation of highly reproducible environments for scientific research and engineering design.",AWS,15-Nov,12:30,13:00,Tuesday,seaam@,"Sean Smith, Senior HPC Solutions Architect, AWS",,"SC22-THEATRE: PCluster Manager for simplicity and reproducibility (SC22-BT-004	/SPC-S40)","AWS Booth #2425 | Theatre @ SC'22 Dallas, TX"
SC22-DEMOS,2,,,Quantum Computing at AWS,"Come learn about the AWS Center for Quantum Computing, Amazon Quantum Solutions Lab, AWS Partner Network, and Amazon Braket.",AWS,15-Nov,13:00,15:00,Tuesday,,AWS Quantum Team,,,"AWS Booth #2425 | Demo Pod #2  @ SC'22 Dallas, TX"
SC22-DEMOS,3,,,Windows VDI Solution for HPC Users,"Engineers are using HPC simulations to accelerate the time needed to design and validate new products. To achieve this goal, they need not only to run HPC simulations faster but also to easily modify the input files and visualize the results using their preferred CAD and post-processing software that usually runs on the Windows OS. This demo covers a Windows VDI solution that can create the infrastructure for your users to authenticate and connect to virtual Windows sessions with Amazon AppStream 2.0, submit their HPC jobs to a Linux cluster, and view the output files as they are being written out on an Amazon FSx for NetApp ONTAP file system.",AWS,15-Nov,13:00,15:00,Tuesday,,AWS HPC Team,,,"AWS Booth #2425 | Demo Pod #3  @ SC'22 Dallas, TX"
SC22-DEMOS,4,SC22-PD-08,SPC-S08,Delivering HPCaaS in a hybrid environment,"In this demo, learn how DXC put together a managed service on AWS to utilize all the benefits of HPC in the cloud with a focus on CAA-II tooling. The presentation covers the components of a hybrid cloud as well as the challenges of legacy and on prem and heterogeneity, and control of the cloud—how do you leverage the power of the cloud while preserving budgetary, security, and export control? Also learn what makes a great service and find out about automation, monitoring integration, and tooling.",DXC,15-Nov,13:00,16:00,Tuesday,mmacke@,Andrew Cusick <andrew.cusick@dxc.com>,,SC22-DEMOS: Delivering HPCaaS in a hybrid environment (SC22-PD-08 | SPC-S08),"AWS Booth #2425 | Demo Pod #4  @ SC'22 Dallas, TX"
SC22-DEMOS,5,SC22-PD-07,SPC-S07,Alces Flight Center on AWS: The next generation of HPC on the cloud,"In 2016, Alces Flight launched one of the first end user marketplace products specifically for HPC. In this demo, learn about the latest updates to the full-service cloud HPC management tool Alces Flight Center and see how Alces has leveled up all aspects of cloud engagement—from users, to environments, to cost control. And, making its debut at SC22, see the successor to Alces’s cloud HPC product built entirely for end users, now ready to take on today’s research challenges. The demo also features real-life cloud-only and hybrid HPC work case studies that were recognized by HPCWire’s Readers’ Choice in 2020 and 2022.",Alces Flight,15-Nov,13:00,15:00,Tuesday,mmacke@,Stu Franks <stu.franks@alces-software.com>,,SC22-DEMOS: Alces Flight Center on AWS: The next generation of HPC on the cloud (SC22-PD-07 | SPC-S07),"AWS Booth #2425 | Demo Pod #5  @ SC'22 Dallas, TX"
SC22-DEMOS,6,SC22-PD-02,SPC-S02,Arm’s multi-platform developer tools on AWS,"Arm Forge—widely used in HPC labs in traditional environments and the cloud—makes HPC debugging and profiling on Amazon EC2 simple regardless of which processor architecture you use. In this demo, learn how Arm Forge offers you tools that provide seamless access to remote servers, and dive deep on profiling experiences with AWS Graviton3 on HPC applications.",Arm,15-Nov,13:00,16:00,Tuesday,mmacke@,"Beau Paisley <Beau.Paisley@arm.com>, Louise Spellacy <Louise.Spellacy@arm.com>",,SC22-DEMOS: Arm’s multi-platform developer tools on AWS (SC22-PD-02 | SPC-S02),"AWS Booth #2425 | Demo Pod #6  @ SC'22 Dallas, TX"
SC22-DEMOS,8,SC22-PD-19,SPC-S19,Quantum computing with Multiverse Computing’s Singularity Optimization,"Multiverse Computing—a leading deep-tech company developing quantum software—has developed Singularity Optimization, a Python library used for modeling and solving generic optimization problems with quantum and quantum-inspired solvers. Optimization is one of the most promising use cases for quantum computing, which offers a way to move beyond the limitations of conventional computers. Multiverse and commercial quantum hardware providers demonstrate already today that real-life industrial optimization problems can be solved efficiently by quantum means. In this demo, learn about numerous examples of Singularity Optimization at work on AWS, and dive into a straightforward interface that requires no prior quantum experience or knowledge.",Multiverse Computing,15-Nov,13:00,14:00,Tuesday,xfanyang@,Mehdi Bozzo-Rey <mehdi.bozzorey@multiversecomputing.com>,,SC22-DEMOS: Quantum computing with Multiverse Computing’s Singularity Optimization (SC22-PD-19 | SPC-S19),"AWS Booth #2425 | Demo Pod #8  @ SC'22 Dallas, TX"
SC22-THEATRE,T,SC22-BT-006,SPC-S42,Large-scale distributed training using Enroot & Pyxis on AWS ParallelCluster with EFA & GPUDirect RDMA,"Join this demo to learn how deploying Enroot and Pyxis for container orchestration on AWS ParallelCluster integrates nicely with Slurm for truly scalable deep learning. Also, discover how GPUDirect RDMA support on Elastic Fabric Adapter (EFA) positively impacts performance.",AWS,15-Nov,13:00,13:30,Tuesday,amrraga@,"Amr Ragab, Principal Solutions Architect – Amazon EC2, AWS",,SC22-THEATRE: Large-scale distributed training using Enroot & Pyxis on AWS ParallelCluster with EFA & GPUDirect RDMA (SC22-BT-006 / SPC-S42),"AWS Booth #2425 | Theatre @ SC'22 Dallas, TX"
SC22-DEMOS,8,SC22-PD-20,SPC-S20,qBraid platform and qBraid-SDK,This hands-on demo shows visitors how to use the qBraid platform and how they can run their first quantum circuits in real time. More experienced users can learn how to run quantum jobs built using Qiskit (IBM) on Amazon Braket. Customers experienced in Qiskit can explore Amazon Braket and many quantum computers available on the AWS platform.,qBraid,15-Nov,14:00,15:00,Tuesday,xfanyang@,Kanav Setia <kanavsetia@qbraid.com>,,SC22-DEMOS: qBraid platform and qBraid-SDK (SC22-PD-20 | SPC-S20),"AWS Booth #2425 | Demo Pod #8  @ SC'22 Dallas, TX"
SC22-THEATRE,T,SC22-BT-017,SPC-S52,The role of ML and HPC in the future of CFD,"In this session, explore how AWS is empowering customers to push the boundaries of computational fluid dynamics (CFD) and helping engineers and designers explore more designs and bring products to market faster. Learn about the move toward GPU-enabled CFD codes, the benefits of cloud elasticity, and the growth of machine learning and deep learning for accelerating CFD simulations.",AWS,15-Nov,14:00,14:30,Tuesday,neashton@,"Neil Ashton, Principal HPC Application Engineer, AWS",,"SC22-THEATRE: The role of ML and HPC in the future of CFD (SC22-BT-017	 / SPC-S52)","AWS Booth #2425 | Theatre @ SC'22 Dallas, TX"
SC22-THEATRE,T,SC22-BT-010,SPC-S46,Improved performance with Altair Radioss on AMD-powered EC2 Hpc6a instances,"In this session, learn about the benefits of running Altair Radioss on Amazon EC2 Hpc6a instances powered by third-generation AMD EPYC processors. For numerous, diverse industries worldwide, Radioss is a versatile and comprehensive high-performance explicit finite element (FE) solver, based on solid and fluid dynamics. It is a standard, go-to tool to accurately predict dynamic, transient-loading effects on structures and products to improve safety and survivability and to design more robust products. Radioss on Hpc6a instances delivers impressive performance on premises. Discover the scaling and performance improvements achieved from Radioss running on Hpc6a instances.",Altair,15-Nov,14:30,15:00,Tuesday,nkd@,"Eric Lequiniou, VP of Radioss Development and Altair Solver HPC, Altair",,"SC22-THEATRE: Improved performance with Altair Radioss on AMD-powered EC2 Hpc6a instances (SC22-BT-010	 / SPC-S46)","AWS Booth #2425 | Theatre @ SC'22 Dallas, TX"
SC22-DEMOS,2,,,AWS Batch and AWS Batch for EKS,"Run hundreds of thousands of batch computing workloads without managing infrastructure or a job scheduler with AWS Batch. Stop by for live demos including ""Introduction to AWS Batch"", ""Introduction to AWS Batch on EKS"", ""A cloud-native SciOps pipeline for GROMACS"", ""Run genomics workflows using the Amazon Genomics CLI and AWS Batch""",AWS,15-Nov,15:00,18:00,Tuesday,,AWS HPC Team,,,"AWS Booth #2425 | Demo Pod #2  @ SC'22 Dallas, TX"
SC22-DEMOS,3,,,Amazon FSx for Lustre and Amazon File Cache,"Join this session to learn about AWS’s newest storage service: Amazon File Cache, which helps you burst HPC workloads to the cloud. Or, come by for a demo of how to configure Amazon FSx for Lustre performance and capacity for high scale, and native access to S3 data.",AWS,15-Nov,15:00,18:00,Tuesday,,AWS Storage Team,,,"AWS Booth #2425 | Demo Pod #3  @ SC'22 Dallas, TX"
SC22-DEMOS,5,SC22-PD-10,SPC-S10,Nimbix-powered HPC cloud on AWS,"In this demo, the Atos Nimbix team presents a state-of-the-art container-based solution for multi-site and cloud-based HPC workloads. Learn about this solution, complete with a fully integrated application marketplace featuring curated, ready-to-use click-to-run workflows for simulation applications and AI/ML/DL software.",Atos,15-Nov,15:00,18:00,Tuesday,mmacke@,Holger Gantikow <holger.gantikow@atos.net>,,SC22-DEMOS: Nimbix-powered HPC cloud on AWS (SC22-PD-10 | SPC-S10),"AWS Booth #2425 | Demo Pod #5  @ SC'22 Dallas, TX"
SC22-DEMOS,7,SC22-PD-12,SPC-S12,HPC on AWS with Parallel Works,"In this live demo, learn about the Parallel Works single-pane-of-glass, multi-cloud environment, which is operated by General Dynamics Information Technology for NOAA’s R&D HPC organization. The presentation demonstrates key aspects of the implementation and optimization of the platform for large-scale HPC-driven R&D. The Parallel Works platform uses 20+ AWS services, including Amazon FSx for Lustre, Amazon S3, Amazon EC2, and Amazon EFS. Dive deep on the end user experience, which incorporates both the familiar on-premises computing environment and the flexibility and innovation of the cloud.",ParallelWorks,15-Nov,15:00,18:00,Tuesday,nkd@,Phyllis Rhodes <prhodes@parallelworks.com>,,SC22-DEMOS: HPC on AWS with Parallel Works (SC22-PD-12 | SPC-S12),"AWS Booth #2425 | Demo Pod #7  @ SC'22 Dallas, TX"
SC22-DEMOS,8,SC22-PD-21,SPC-S21,Entropy Quantum Computing,"In this fast-changing world, staying ahead of the competition is imperative. Quantum Computing Inc. (QCi), working with Amazon Braket, shows you how quantum computing is available today for many use cases. Quantum computing has been limited to small problems, but the recent announcement from QCi about Entropy Quantum Computing changes the HPC landscape. Attend this demo to learn how Entropy Quantum Computing can impact your organization.",QCi,15-Nov,15:00,16:00,Tuesday,xfanyang@,Mike Keymer <mkeymer@quantumcomputinginc.com>,,SC22-DEMOS: Entropy Quantum Computing (SC22-PD-21 | SPC-S21),"AWS Booth #2425 | Demo Pod #8  @ SC'22 Dallas, TX"
SC22-THEATRE,T,SC22-BT-009,SPC-S45,Run your compute-intense workloads in the cloud using AWS Batch,"Whether you are training large machine learning models or running genomic sequencing, EDA, video encoding, big data processing, or autonomous vehicle simulation workloads in the cloud, you’re going to need cloud-native scheduling and orchestration. In this session, learn about AWS Batch, a container-centric, fully managed service for job schedule and AWS compute resource orchestration. Dive deep into AWS Batch major components, such as job definition, job queues, job states, compute environments, instance selection, job throughput, and allocation strategies. Also, discover best practices that can help you build optimized AWS Batch architectures and run AWS Batch at scale.",AWS,15-Nov,15:00,15:30,Tuesday,aabunij@,"Ala Abunijem, Principal HPC GTM Specialist, AWS; Maxime Hugues, Principal HPC Specialist Solutions Architect, AWS",,"SC22-THEATRE: Run your compute-intense workloads in the cloud using AWS Batch (SC22-BT-009	 / SPC-S45 ","AWS Booth #2425 | Theatre @ SC'22 Dallas, TX"
SC22-THEATRE,T,SC22-BT-030,SPC-S64,Accelerating HPC for engineers on AWS with TotalCAE,"The TotalCAE platform makes it possible for engineers to submit hundreds of applications to AWS in just a few clicks. Learn how TotalCAE uses AWS services including Elastic Fabric Adapter (EFA), HPC-specific instances such as hpc6a.48xlarge, NICE DCV, and Amazon FSx for Lustre. In this session, TotalCAE discusses client case studies using these AWS technologies with TotalCAE to advance the state of the art in CAE simulation.",TotalCAE,15-Nov,15:30,16:00,Tuesday,nkd@,"Rodney Mach, President, TotalCAE",,"SC22-THEATRE: Accelerating HPC for engineers on AWS with TotalCAE (SC22-BT-030 / 	SPC-S64)","AWS Booth #2425 | Theatre @ SC'22 Dallas, TX"
SC22-DEMOS,4,SC22-PD-15,SPC-S15,Deploy HPC and ML workloads on AWS using Slurm,"In this demo hear from SchedMD, the company behind Slurm workload manager software. Slurm is a free open-source workload manager designed specifically to satisfy the demanding needs of high-performance computing. The software is in widespread use at government laboratories, universities, and companies worldwide and performs workload management for over half of the top 10 systems in the TOP500. Slurm is a scheduler of choice in AWS ParallelCluster.",SchedMD,15-Nov,16:00,18:00,Tuesday,avikulk@,Jess Arrington <jess@schedmd.com>,,SC22-DEMOS: Deploy HPC and ML workloads on AWS using Slurm (SC22-PD-15 | SPC-S15),"AWS Booth #2425 | Demo Pod #4  @ SC'22 Dallas, TX"
SC22-DEMOS,6,SC22-PD-13,SPC-S13,Simplifying HPC on the AWS Cloud with Research Gateway,"Research Gateway provides a self-service UI portal (featuring SaaS and enterprise models) for researchers to provision, run analysis, and manage the costs of complex HPC architecture on AWS. The solution allows users to create an HPC-powered MyResearch Cloud in less than 30 minutes from a standard catalog, with the ability to incorporate their own tools. Built on AWS ParallelCluster, Research Gateway includes intelligent cost tracking, blueprints for automated migration, and project-based data collaboration and allows researchers to focus on science and research grants without the need for AWS Console access. Central IT can easily extend the self-service models to a group of researchers with built-in governance controls and chargebacks billing.",Relevance Lab,15-Nov,16:00,18:00,Tuesday,shutsui@,Puneet Chaddah <puneet@relevancelab.com>,,SC22-DEMOS: Simplifying HPC on the AWS Cloud with Research Gateway (SC22-PD-13 | SPC-S13),"AWS Booth #2425 | Demo Pod #6  @ SC'22 Dallas, TX"
SC22-DEMOS,8,SC22-PD-22,SPC-S22,Neutral-atom quantum computing with QuEra,"In this demo, QuEra introduces tools and services for quantum computing. Learn about neutral atom–based analog quantum processors and how they are operated. Explore hardware-efficient application directions and how they can be efficiently emulated using AWS HPC resources via QuEra's package, Bloqade.",QuEra,15-Nov,16:00,17:00,Tuesday,xfanyang@,Pedro Lopes <plopes@quera.com>,,SC22-DEMOS: Neutral-atom quantum computing with QuEra (SC22-PD-22 | SPC-S22),"AWS Booth #2425 | Demo Pod #8  @ SC'22 Dallas, TX"
SC22-THEATRE,T,SC22-BT-018,SPC-S53,Structure-based drug design as a service,"In this demo, join Clovertex to learn about its scientific research platform and how it can be used to simplify and accelerate structure-based drug design. Also, discover how a cryo-EM pipeline can use the popular CryoSPARC Live application.",AWS,15-Nov,16:00,16:30,Tuesday,bsskjerv@,"Brian Skjerven, Senior HPC Specialist Solutions Architect, AWS",,"SC22-THEATRE: Structure-based drug design as a service (SC22-BT-018	 / SPC-S53)","AWS Booth #2425 | Theatre @ SC'22 Dallas, TX"
SC22-THEATRE,T,SC22-BT-022,SPC-S56,Enabling high-performance research with Service Workbench on AWS,"Organizations in the healthcare and life sciences domain have several applications for on-demand cloud computing. Genome sequencing, clinical trial simulations, and analysis of therapeutic compounds require a scalable, secure, and on-demand computing environment. Service Workbench on AWS is an open-source solution that enables IT teams to create secure portals for researchers on AWS, which combine data management, research tools, and cost visibility without requiring researchers to use the AWS console. In this session, learn about the goals of Service Workbench on AWS and the architecture for HPC customers, see a demo of a Service Workbench HPC prototype with AWS ParallelCluster integration, and hear about the roadmap for 2022 and beyond.",AWS,15-Nov,16:30,17:00,Tuesday,drbalaji@,"Balaji Raman, SDM PubSec Health Solutions, AWS; Ananya Gupta, Technical Product Manager, AWS",,"SC22-THEATRE: Enabling high-performance research with Service Workbench on AWS (SC22-BT-022 / 	SPC-S56)","AWS Booth #2425 | Theatre @ SC'22 Dallas, TX"
SC22-DEMOS,8,SC22-PD-23,SPC-S23,Getting hands-on with Strangeworks solutions,"In this demo, learn how to eliminate the complexity of accessing, applying, and managing the flood of emerging compute technologies by bringing them together into one platform. Strangeworks offers a hardware-agnostic and software-inclusive platform that acts as a central hub for advanced computing hardware and software vendors and is built specifically for enterprises, academia, researchers, scientists, and engineers to help them solve their most complex research and development challenges. Learn how to use the Strangeworks service library, manipulate quantum code, and generate real results using third-party frameworks and languages. Explore real-world examples from customers and partners, powered by the Strangeworks platform.",Strangeworks,15-Nov,17:00,18:00,Tuesday,xfanyang@,Steve Gibson <steve@strangeworks.com>,,SC22-DEMOS: Getting hands-on with Strangeworks solutions (SC22-PD-23 | SPC-S23),"AWS Booth #2425 | Demo Pod #8  @ SC'22 Dallas, TX"
SC22-THEATRE,T,SC22-BT-027,SPC-S61,Quantum computing on AWS: From the lab to the laptop,"It may seem like science fiction, but quantum computing is here—and it’s available on the AWS Cloud. Although production workloads aren’t available yet, Amazon Braket gives you the ability to get quantum-ready by exploring the capabilities of a range of current quantum hardware, including superconducting qubits, ion traps, photonic qubits, and Rydberg atom arrays, with more being added regularly. Join this session for an introduction to quantum computing, learn about how the Braket service works, and hear AWS Partners discuss the novel solutions they’ve built on Braket.",AWS,15-Nov,17:00,17:30,Tuesday,xfanyang@,"Jordan Sullivan, Developer Advocate, AWS; Perminder Singh, Senior Partner Solutions Architect, Quantum, AWS",,"SC22-THEATRE: Quantum computing on AWS: From the lab to the laptop (SC22-BT-027	 / SPC-S61)","AWS Booth #2425 | Theatre @ SC'22 Dallas, TX"
SC22-DEMOS,1,,,AWS ParallelCluster and Pcluster Manager,"Launch and manage dynamically scaling high performance computing (HPC) clusters on AWS with AWS ParallelCluster. Stop by for demos including ""Introduction to AWS Parallel Cluster"", ""Introduction to Pcluster Manager"", ""License Management in AWS ParallelCluster"", ""AWS ParallelCluster Fast Failover"", and ""My laptop has 50k cores"".",AWS,16-Nov,10:00,18:00,Wednesday,,AWS HPC Team,,,"AWS Booth #2425 | Demo Pod #1  @ SC'22 Dallas, TX"
